No_Inscription;No_Region_MEF;Nom_Dossier;Adresse;Qualite_Sol_Residuel*;Code_Muncp;NO_MRC;Contaminants_sols;Contaminants_eau;LATITUDE_DEG_DEC_NAD83;LONGITUDE_DEG_DEC_NAD83
3;1;Dépanneur Esso 7-24 enr.;"336, avenue de la Cathédrale
Rimouski";R : Non terminée;10043;100;Hydrocarbures légers*,;0;48.4457194444;-68.5183444444
12;1;Texaco Matane;"8, boulevard Dion
Matane";R : Non terminée;8053;80;Hydrocarbures pétroliers C10 à C50,;0;48.8487;-67.5450722222
15;1;École Ste-Agnès;"130, rue Côté
Rimouski";R : Non terminée;10043;100;Hydrocarbures pétroliers C10 à C50,;0;48.4595083333;-68.5157611111
18;1;Municipalité de Lac-au-Saumon;"20, rue du Cénacle
Lac-au-Saumon";R : Non terminée;7057;70;Composés phénoliques*,;0;48.441797;-67.3943
74;1;Louis-Philippe Bérubé;"138, rue Beaubien
Rivière-du-Loup";R : Non terminée;12072;120;Hydrocarbures pétroliers C10 à C50,;0;47.843742;-69.524873
77;1;Produits pétroliers Claude Leblanc (1986) ltée;"230, rue Commerciale
Témiscouata-sur-le-Lac";R : Non terminée;13073;130;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;47.675741;-68.870218
92;1;Caisse Populaire de Saint-Honoré;"109, rue Principale
Saint-Honoré-de-Témiscouata";R : Non terminée;13090;130;Cadmium (Cd),;0;47.708333;-69.13405
98;1;Garage Maurice Bélanger et Fils inc.;"889, boulevard Sainte-Anne
Rimouski";R : Non terminée;10043;100;Benzène,;0;48.508175;-68.463025
108;1;Caisse Populaire de La Pocatière;"120, route 230 Ouest
La Pocatière";R : Non terminée;14090;140;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;Benzène, Éthylbenzène, Huiles et graisses totales*,;47.379858;-70.007786
109;1;Jean-Guy Lepage;"Boulevard Bégin
Pohénégamook";R : Non terminée;13095;130;Hydrocarbures pétroliers C10 à C50,;0;47.485747;-69.275576
132;1;Pétrolière Impériale Dépôt Esso;"32, rue de la Colline
Rivière-Bleue";R : Non terminée;13025;130;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;47.439207;-69.04559
135;1;Bois Traitel ltée;"264, route Picard
Saint-Joseph-de-Kamouraska";R : Non terminée;14030;140;Arsenic (As), Chrome total (Cr), Cuivre (Cu),;0;47.5797627604;-69.6468158477
155;1;Ancien dépôt pétrolier Esso Rivière-du-Loup;"270, rue Saint-André
Rivière-du-Loup";R : Non terminée;12072;120;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;47.818971;-69.520166
156;1;Station-service Esso Saint-Fabien;"9, route 132
Saint-Fabien";R : Non terminée;10070;100;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;48.297303;-68.869437
158;1;Ancien dépôt pétrolier Esso Rivière-du-Loup;"265, rue Saint-André
Rivière-du-Loup";R : Non terminée;12072;120;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;47.819702;-69.52195
161;1;Valet Service Éclair (1987) inc.;"330, avenue de la Cathédrale
Rimouski";R : Non terminée;10043;100;Hydrocarbures pétroliers C10 à C50, Tétrachloroéthène, Trichloroéthylène,;0;48.4462833333;-68.5185111111
162;1;Hôtel Motel Normandie Rimouski-Est;"556, rue Saint-Germain Est
Rimouski-Est";R : Non terminée;10043;100;Hydrocarbures pétroliers C10 à C50,;0;48.4765611111;-68.5110194444
175;1;Ville de Pointe-au-Père;"Face au 889, route 132
Rimouski";R : Non terminée;10043;100;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;48.508306;-68.463357
186;1;Ancien dépôt pétrolier Ultramar;"261, rue Saint-André
Rivière-du-Loup";R : Non terminée;12072;120;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;47.820027;-69.521072
191;1;Garage Fernand Santerre_2001;"166, rue Principale
Esprit-Saint";R : Non terminée;10005;100;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;0;48.068475;-68.5619611111
199;1;Alain Malenfant;"7, 1er et 2e Rang Est
Saint-Michel-du-Squatec";R : Non terminée;13065;130;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;47.920424;-68.783869
200;1;Transports Canada (Aéroport);"875, route de l'Aéroport
Mont-Joli";R : Non terminée;9077;90;Produits pétroliers*,;0;48.607547;-68.197568
213;2;Shell Canada ltée;"1193, boul. St-Dominique
Roberval";R : Non terminée;91025;910;Hydrocarbures légers*, Xylènes (o,m,p),;0;48.5227972129;-72.2281518585
224;2;Restaurant Guil-li-gang;;R : Non terminée;94930;942;Hydrocarbures pétroliers C10 à C50,;0;49.8092409338;-71.1649149245
231;2;Dépôt pétrolier Irving;"1287, boul. Marcotte
Roberval";R : Non terminée;91025;910;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Méthyl naphtalènes (chacun), Naphtalène, Toluène, Xylènes (o,m,p),;Benzène, Benzo(a)pyrène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;48.5244843376;-72.234696977
235;2;Irving, coin St-Paul et du Royaume;"2334, boulevard St-Paul
Chicoutimi";R : Non terminée;94068;941;Hydrocarbures pétroliers C10 à C50,;0;48.3872910656;-71.1156636976
237;2;Poste Saint-Ambroise d'Hydro-Québec (désaffecté);"rue du Pont Ouest
Saint-Ambroise";R : Non terminée;94255;942;Biphényles polychlorés (BPC), Hydrocarbures pétroliers C10 à C50,;0;48.543068811;-71.3116162453
240;2;Produits Shell Canada ltée;"1916, boul. Talbot
Chicoutimi";R : Non terminée;94068;941;Hydrocarbures pétroliers C10 à C50,;Hydrocarbures pétroliers C10 à C50,;48.3958800462;-71.0688687533
242;2;Station-Service Gérard Vézina;"203, 6e Avenue
Dolbeau-Mistassini";R : Non terminée;92022;920;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Méthyl naphtalènes (chacun), Naphtalène, Toluène, Xylènes (o,m,p),;Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;48.8787688674;-72.2295286888
247;2;Campement forestier Boisaco du Lac Maltais;;R : Non terminée;94930;942;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;48.4502907946;-70.0670303122
248;2;Les métaux Lucien Côté et fils ltée;"3360, boul. St-François
Jonquière";R : Non terminée;94068;941;Cuivre (Cu), Hydrocarbures pétroliers C10 à C50,;0;48.4116604953;-71.2166831743
249;2;Cour de récupération de rebuts;"rang St-Joseph
Dolbeau-Mistassini";R : Non terminée;92022;920;Plomb (Pb),;0;48.8563977992;-72.1752700899
250;2;E. et J. Turcotte inc.;"2030, rue Drake
Jonquière";R : Non terminée;94068;941;Plomb (Pb),;0;48.4230777778;-71.1671916667
251;2;Radiateur Saguenay;"252, Price
Chicoutimi";R : Non terminée;94068;941;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Plomb (Pb), Toluène, Xylènes (o,m,p),;0;48.4291892374;-71.0677876042
253;2;Commission scolaire du pays-des-bleuets;"654, boulevard Saint-Joseph
Roberval";R : Non terminée;91025;910;Hydrocarbures pétroliers C10 à C50,;0;48.117153899;-70.8349994404
254;2;Sablage industriel Saguenay;"2110, boul. St-Jean-Baptiste
Chicoutimi";R : Non terminée;94068;941;Plomb (Pb),;0;48.4020271925;-71.0062875921
255;2;Centre du Radiateur;"29, rue Bossé
Chicoutimi";R : Non terminée;94068;941;Plomb (Pb),;0;48.4242978463;-71.0696167824
258;2;Fonderie Saguenay;"2001, boul. Talbot
Chicoutimi";R : Non terminée;94068;941;Plomb (Pb),;0;48.392187;-71.071012
259;2;Pétrolière Impériale (Dépôt de vrac), secteur industriel;"2475, rang St-Martin
Chicoutimi";R : Non terminée;94068;941;Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50,;0;48.4435613904;-70.9926425806
266;2;Ville de Dolbeau (Garage municipal);"330, 7e Avenue
Dolbeau-Mistassini";R : Non terminée;92022;920;Hydrocarbures pétroliers C10 à C50,;0;48.8776320075;-72.2346385781
269;2;Les Pétroles Irving ( Terminal Pétrolier);"1295, rue Victoria
La Baie";R : Non terminée;94068;941;Hydrocarbures pétroliers C10 à C50,;0;48.3555474477;-70.8817504443
274;2;Jocelyn Tremblay;"1144 et 1142, rue St-Cyrille
Normandin";R : Non terminée;92040;920;Hydrocarbures pétroliers C10 à C50, Xylènes (o,m,p),;0;48.8383030033;-72.5312087864
295;2;Produits Shell Canada ltée;"784, boul. Talbot
Chicoutimi";R : Non terminée;94068;941;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;48.4163280876;-71.0473976193
296;2;Irving, Station-Service Gérard Simard;"29, route 170
Larouche";R : Non terminée;94265;942;Benzène, Éthylbenzène, Hydrocarbures aromatiques volatiles*, Hydrocarbures légers*, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;48.4534143765;-71.5262164513
302;2;Ultramar, dépôt de Roberval (Désaffecté);"1217, boul. St-Joseph
Roberval";R : Non terminée;91025;910;Hydrocarbures légers*, Produits pétroliers*,;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;48.5356859131;-72.2245890864
306;2;Alcan Batiment #3 et salle des redresseurs;"1955, boul. Mellon, C.P. 1500
Jonquière";R : Non terminée;94068;941;*;*;48.4298870458;-71.1715098811
310;2;Coop des travailleurs en serre Belle de Jour;"1028, rang 3
Saint-Nazaire";R : Non terminée;93045;930;Huiles usées*,;0;48.5673268958;-71.6066804825
315;2;Cyber Gachette  Ex (9012-0551 Québec inc.);"4845, boul. Grande-Baie Sud
La Baie";R : Non terminée;94068;941;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;0;48.3252276443;-70.8371919656
316;2;Marcel Potvin;"1593, rang St-Joseph
Chicoutimi";R : Non terminée;94068;941;Hydrocarbures pétroliers C10 à C50,;0;48.4330368385;-71.0183247308
320;2;Épicerie Dominique Bélangé;"569, rue principal
Saint-Edmond";R : Non terminée;92050;920;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;0;48.9048555029;-72.5511311897
322;2;Raymond Boulianne;"2715, rue Roussel
Chicoutimi";R : Non terminée;94068;941;Hydrocarbures pétroliers C10 à C50,;0;48.441250428;-71.0824758172
323;2;Lemay et frères inc.;"3011, route 170
Laterrière";R : Non terminée;94068;941;Hydrocarbures pétroliers C10 à C50,;0;48.3465427346;-71.0302926801
324;2;Marché Dubé Delisle inc.;"2892, avenue du Pont Nord
Alma";R : Non terminée;93042;930;Hydrocarbures pétroliers C10 à C50, Plomb (Pb), Produits pétroliers*,;0;48.6016381394;-71.6251056099
331;2;Automobiles du Fjord inc.;"833, rue Alma
Chicoutimi";R : Non terminée;94068;941;Hydrocarbures pétroliers C10 à C50,;0;48.4137491562;-71.0512539474
334;2;Ville de Chicoutimi;"850-852, rue Léonidas-Bélanger
Chicoutimi";R : Non terminée;94068;941;Hydrocarbures pétroliers C10 à C50,;0;48.4277645278;-71.0417737035
336;2;Dufour et frères inc.;"130, rue Principale
Saint-Eugène-d'Argentenay";R : Non terminée;92065;920;Hydrocarbures pétroliers C10 à C50,;0;48.9615050716;-72.2618370538
337;2;Dufour et frères inc.;"144, rue Principale
Saint-Eugène-d'Argentenay";R : Non terminée;92065;920;Hydrocarbures pétroliers C10 à C50,;0;48.9616938548;-72.2622092923
340;2;Autobus Gérard Besson inc.;"82, boul. St-Michel
Dolbeau-Mistassini";R : Non terminée;92022;920;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;0;48.8960714665;-72.206834248
341;2;Pavillon des Arts de l'UQAC;"555, boul. de l'Université
Chicoutimi";R : Non terminée;94068;941;Hydrocarbures pétroliers C10 à C50,;0;48.4195656044;-71.0525288242
342;2;Les Pétroles R.L. inc.;"2281, boul. du Royaume
Jonquière";R : Non terminée;94068;941;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;0;48.3967704732;-71.1430781699
344;2;Mécanique Dan Auto ltée;"2011, boul. Mellon
Jonquière";R : Non terminée;94068;941;Hydrocarbures pétroliers C10 à C50, Méthyl naphtalènes (chacun),;0;48.4244666866;-71.1802818776
355;2;Pétro-Canada;"972, chemin de la Réserve
Chicoutimi";R : Non terminée;94068;941;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;48.4196064223;-71.1001090627
356;2;Cour à rebuts Germain;"1014, rue Germain
Chicoutimi";R : Non terminée;94068;941;Cuivre (Cu), Plomb (Pb), Zinc (Zn),;0;48.434377914;-71.0992307616
358;2;Ultramar;"7114, chemin St-Anicet
La Baie";R : Non terminée;94068;941;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;0;48.3440128857;-71.0000948244
362;2;Les Bleuetières Senco inc.;"121, chemin des Meules, chemin de la bleuetière et rang 7 d'Alma
Sainte-Jeanne-d'Arc";R : Non terminée;92015;920;Hydrocarbures pétroliers C10 à C50,;0;48.8865528296;-71.9882394664
364;2;Base des Forces Canadiennes (Champ de tir);"Base Bagotville
La Baie";R : Non terminée;94068;941;Cuivre (Cu), Plomb (Pb),;0;48.3368258749;-70.9838898995
369;2;9056-1752 Québec inc.;"525, rue Sacré-Cœur
Alma";R : Non terminée;93042;930;Hydrocarbures pétroliers C10 à C50,;0;48.545416751;-71.6363553263
371;2;École Chambord;"1536, rue Principale
Chambord";R : Non terminée;91020;910;Hydrocarbures pétroliers C10 à C50,;0;48.4295510666;-72.0638222681
372;2;Les Pétroles Irving inc.;"396, du Havre
Chicoutimi";R : Non terminée;94068;941;Benzène, Éthylbenzène, Produits pétroliers*, Toluène, Xylènes (o,m,p),;0;48.4282335418;-71.0558521645
378;2;"Ville de Saint-Félicien (Site Hamel Transport""ancien"" )";"1041, rue St-Christophe
Saint-Félicien";R : Non terminée;91042;910;Biphényles polychlorés (BPC), Hydrocarbures pétroliers C10 à C50,;0;48.6487098107;-72.4435335776
379;2;Nutrinor Coopérative Agro-Alimentaire;"100, rue Coulombe
Saint-Gédéon";R : Non terminée;93035;930;Hydrocarbures pétroliers C10 à C50,;0;48.4807343389;-71.7840891298
381;2;Dépanneur Couche-Tard et Poste d'essence Shell;"1335, boul. Sacré-Cœur
Saint-Félicien";R : Non terminée;91042;910;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;0;48.6574191321;-72.4508339708
382;2;Rosaire Bouchard & fils;"255, chemin de la Réserve
Chicoutimi";R : Non terminée;94068;941;Hydrocarbures pétroliers C10 à C50,;0;48.4288024278;-71.0792631266
384;2;Les conciergeries Richard Lagacé inc.;"1229, boul. du Saguenay
Chicoutimi";R : Non terminée;94068;941;Hydrocarbures pétroliers C10 à C50,;0;48.4301255861;-71.0303768398
387;2;Société immobilière Irving ltée;"3024, rue St-Méthode
Saint-Félicien";R : Non terminée;91042;910;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;48.7270718709;-72.4111382074
388;2;Entrepôt Provigo;"1870, boul. St-Paul
Chicoutimi";R : Non terminée;94068;941;Hydrocarbures pétroliers C10 à C50,;0;48.3981433829;-71.1077370328
389;2;Placement Romay inc. (J.R. Théberge);"596, boul. Saguenay Ouest
Chicoutimi";R : Non terminée;94068;941;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;0;48.4329007828;-71.0864609056
391;2;Centre hospitalier Jonquière (pavillon Arvida);"1841,rue Deschênes
Jonquière(Que.)
G7S 4K6";R : Non terminée;94068;941;Huiles et graisses totales*, Hydrocarbures pétroliers C10 à C50,;0;48.6313055149;-71.6931301661
392;2;Accommodation Camil Tremblay inc.;"459, route 381
Ferland-et-Boilleau";R : Non terminée;94220;942;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;0;48.1819468493;-70.8455317888
393;2;Pétro-Canada;"757, rue St-Cyrille
Normandin";R : Non terminée;92040;920;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;0;48.828776874;-72.5191402738
395;2;Pétro-Canada;"2497, rang St-Martin
Chicoutimi";R : Non terminée;94068;941;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;48.4431562847;-70.9900573934
397;2;Groupe conseil T.S. inc.;"1421, rue des Peupliers
Dolbeau-Mistassini";R : Non terminée;92022;920;Benzène, Éthylbenzène, Produits pétroliers*, Toluène, Xylènes (o,m,p),;0;48.8772235357;-72.2326150242
402;2;Entreprise Gaston Morin;"310 boul. Dequen
Dolbeau-Mistassini";R : Non terminée;92022;920;Hydrocarbures pétroliers C10 à C50,;0;48.8792364356;-72.1990012121
405;2;Cégep de Jonquière;"2505, rue St-Hubert
Jonquière";R : Non terminée;94068;941;Hydrocarbures pétroliers C10 à C50,;0;48.4059230675;-71.2480545524
408;2;Les Pétroles Irving inc.;"2981, avenue du Pont Nord
Delisle";R : Non terminée;93042;930;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;0;48.6029728957;-71.6218104032
409;2;Fabrique St-Jean-Eudes;"2189, rue Bonneau
Jonquière";R : Non terminée;94068;941;Hydrocarbures pétroliers C10 à C50,;0;48.4357264767;-71.1383619464
413;2;École Saint-Pierre;"151, rue Potvin Sud
Alma";R : Non terminée;93042;930;Hydrocarbures pétroliers C10 à C50,;0;48.5434674683;-71.638964079
414;2;Briquetier paysager Saguenay inc.;"1234, boul. St-Paul
Chicoutimi";R : Non terminée;94068;941;Hydrocarbures pétroliers C10 à C50,;0;48.4097893451;-71.0907853408
415;2;Nutrinor (Division Sonic);"1545, boul St-Judes
Alma";R : Non terminée;93042;930;Hydrocarbures pétroliers C10 à C50,;0;48.530760615;-71.6671582203
417;2;Pétroles R.L.;"355, boul. Dequen Nord
Alma";R : Non terminée;93042;930;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;48.5574292064;-71.6469014403
418;2;Alcan Bâtiment 304;;R : Non terminée;94068;941;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;0;48.4274682056;-71.1614028489
420;2;Ville de Jonquière;"3560, boulevard du Royaumme
Jonquière";R : Non terminée;94068;941;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;48.4207487379;-71.2305955921
422;2;Foyer des loisirs d'Arvida;"1910, rue du Centre
Jonquière";R : Non terminée;94068;941;Chrome total (Cr),;0;48.4263743017;-71.1859601919
423;2;École Mgr Victor;"24, rue de l'Hôpital
Métabetchouan--Lac-à-la-Croix";R : Non terminée;93012;930;Hydrocarbures pétroliers C10 à C50,;0;48.427674514;-71.8679297631
428;2;Les Pétroles Irving;"1595, boulevard Renaud
Chicoutimi";R : Non terminée;94068;941;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Méthyl naphtalènes (chacun), Toluène, Xylènes (o,m,p),;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;48.4381735122;-71.0178522064
429;2;Produits Shell Canada ltée;"2220, avenue du Port
La Baie";R : Non terminée;94068;941;Benzène, Éthylbenzène, Hydrocarbures légers*, Hydrocarbures pétroliers C10 à C50, Produits pétroliers*, Toluène, Xylènes (o,m,p),;0;48.3326012698;-70.8929148465
431;2;Commission scolaire du Pays-des-bleuets;"1079, rue Bolduc
Roberval";R : Non terminée;91025;910;Hydrocarbures pétroliers C10 à C50,;0;48.5238221106;-72.2228945182
433;2;Les Pétroles Irving;"2745, boul. du Royaume
Jonquière";R : Non terminée;94068;941;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;48.4058527778;-71.1792777778
438;2;Raymond Munger (1993) inc.;"261, boulevard St-David
Saint-David-de-Falardeau";R : Non terminée;94245;942;Benzène, Éthylbenzène, Produits pétroliers*, Toluène, Xylènes (o,m,p),;0;48.6221984711;-71.116578921
440;2;Air Bellevue inc.;"1220, route de l'aéroport
Roberval";R : Non terminée;91025;910;Hydrocarbures pétroliers C10 à C50,;0;48.5242138984;-72.2651615712
443;2;Pavillon Jonquière Nord;"821, Montée Dupérré
Jonquière";R : Non terminée;94068;941;Hydrocarbures pétroliers C10 à C50,;0;48.475040532;-71.4076692746
447;2;Uniforet scierie pâte inc.;"5005, route Uniforêt
L'Ascension-de-Notre-Seigneur 

";R : Non terminée;93065;930;Hydrocarbures pétroliers C10 à C50,;0;48.7542639002;-71.6197866812
448;2;Multisodas Chicoutimi;"1800, boulevard Talbot
Chicoutimi";R : Non terminée;94068;941;Naphtalène,;0;48.3970587738;-71.0673628402
449;2;Pétro Canada;"2497, rang St-Martin
Chicoutimi";R : Non terminée;94068;941;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;48.4431562847;-70.9900573934
450;2;Produits forestier Aliance inc.;T.N.O. MRC Maria-Chapdelaine;R : Non terminée;92904;920;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;49.5823055556;-73.0465277778
450;2;Produits forestier Aliance inc.;T.N.O. MRC Maria-Chapdelaine;R : Non terminée;92055;920;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;49.5823055556;-73.0465277778
452;2;Ville de Jonquière;"Voisin du 3510 rue de l'Énergie
Jonquière";R : Non terminée;94068;941;Hydrocarbures pétroliers C10 à C50,;0;48.4104166667;-71.2267361111
455;2;Base des forces Canadiennes Alouette Bagotville;"Route 170
La Baie";R : Non terminée;94068;941;0;0;48.3376879549;-70.9886735529
456;2;Base  Alouette;"Route 170
La Baie";R : Non terminée;94068;941;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Métaux*, Toluène, Xylènes (o,m,p),;0;48.3376879549;-70.9886735529
457;2;Base Alouette Bagotville;"Route 170
La Baie";R : Non terminée;94068;941;Arsenic (As), Hydrocarbures aromatiques polycycliques*, Soufre total (S),;0;48.3376879549;-70.9886735529
465;2;Les entreprises Bertrand Murray enr.;;R : Non terminée;92904;920;Hydrocarbures pétroliers C10 à C50,;0;;
467;2;Placement Fernand Marcotte inc.;"1377 et 1369 boul., Saguenay Est
Chicoutimi";R : Non terminée;94068;941;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;0;48.4283859434;-71.0254542158
468;2;Quincaillerie du moulin ltée;"1387 et 1385, boulevard Saguenay Est
Chicoutimi";R : Non terminée;94068;941;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;0;48.4282217286;-71.0255828762
469;2;Métal Art Soudure inc.;"20, route Villeneuve
Chicoutimi";R : Non terminée;94068;941;Hydrocarbures pétroliers C10 à C50,;0;48.4624187994;-70.9973445679
470;2;L.N. Machinerie inc.;"110, rue Lucien
Saguenay";R : Non terminée;94068;941;Hydrocarbures pétroliers C10 à C50,;0;48.4620616483;-70.9982233879
476;2;Les Granits Aurélien Tremblay inc.;;R : Non terminée;91015;910;Hydrocarbures pétroliers C10 à C50,;0;48.3335944444;-72.3088472222
479;2;9051-5800 Québec inc.;"677,  route 155
Lac-Bouchette";R : Non terminée;91005;910;Hydrocarbures pétroliers C10 à C50,;0;48.2098279025;-72.2093003555
482;2;L'accomodation Camil Tremblay;"459, route 381
Ferland-et-Boilleau";R : Non terminée;94220;942;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;0;48.1819468493;-70.8455317888
487;2;La Fabrique de la paroisse de Rivière-Éternité;"412, route principale.
Rivière-Éternité";R : Non terminée;94215;942;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;0;48.2553817095;-70.4148323801
488;2;Produit Shell Canada ltée;"2015, boulevard Mellon
Jonquière";R : Non terminée;94068;941;Hydrocarbures pétroliers C10 à C50,;0;48.4242166667;-71.1801388889
489;2;Les Pétroles Erco inc.;"1918, boul. Tadoussac
Saint-Fulgence";R : Non terminée;94235;942;Hydrocarbures pétroliers C10 à C50,;0;48.4432432807;-70.7105464293
498;2;Normandeau France;"697, rue Gauthier
Larouche";R : Non terminée;94265;942;Hydrocarbures pétroliers C10 à C50,;0;48.449088941;-71.5248791916
500;2;Ministère Énergie et Ressources, Pépinière Normandin.;"134, Chemin Alfred Villeneuve
Normandin";R : Non terminée;92040;920;0;Nitrate + nitrite,;48.7647118065;-72.5314177502
501;2;Produits Shell Canada ltée A;"2220, avenue du Port
La Baie";R : Non terminée;94068;941;Cadmium (Cd), Chrome total (Cr), Cuivre (Cu), Hydrocarbures pétroliers C10 à C50, Nickel (Ni), Plomb (Pb), Zinc (Zn),;Cuivre (Cu), Zinc (Zn),;48.3326012698;-70.8929148465
502;2;Hollands Brian;"225, rue de la colline
Alma";R : Non terminée;93042;930;Hydrocarbures pétroliers C10 à C50,;0;48.5305904017;-71.6082610639
504;2;Accomodation Carol Gauthier inc.;"191, rue Principale
Saint-Félix-d'Otis";R : Non terminée;94225;942;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;48.3022530838;-70.6773752701
505;2;Raymond Boudreault;"3640, rang Melançon
Alma";R : Non terminée;93042;930;Huiles usées*,;0;48.5759742955;-71.7113807375
506;2;Uniforet-Scierie Péribonka inc.;"5005, route Uniforêt
L'Ascension-de-Notre-Seigneur 

";R : Non terminée;93065;930;Hydrocarbures pétroliers C10 à C50,;0;48.7542639002;-71.6197866812
509;2;S.E.C.A.L. chemin de fer Roberval Saguenay;"Bâtiment 1005-E
Jonquière";R : Non terminée;94068;941;Hydrocarbures pétroliers C10 à C50,;0;48.4295027778;-71.1639222222
510;2;Alimentation Couche-Tard inc.(Bannière Irving);"4024, boul. du Royaume
Jonquière";R : Non terminée;94068;941;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;0;48.4253452106;-71.2615240293
511;2;S.E.C.A.L.(énergie électrique);"T.N.O.
Chute-des-Passes";R : Non terminée;94930;942;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;49.8416748585;-71.1641380348
514;2;Société d'établissement du plein air du Québec;"Accueil sud route 167
La Doré";R : Non terminée;91050;910;Hydrocarbures pétroliers C10 à C50,;0;;
517;2;Les Pétroles Irving;"Rue St-Bernard
Alma";R : Non terminée;93042;930;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;0;48.5523522161;-71.640741012
525;2;Blackburn Benjamin;"1315, boulevard St-Paul
Chicoutimi";R : Non terminée;94068;941;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;48.4072581832;-71.0904518135
526;2;2733-1453 Québec inc.;"490, principale
Saint-Prime";R : Non terminée;91035;910;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;48.589257948;-72.3314848999
