No_Inscription;No_Region_MEF;Nom_Dossier;Adresse;Qualite_Sol_Residuel*;Code_Muncp;NO_MRC;Contaminants_sols;Contaminants_eau;LATITUDE_DEG_DEC_NAD83;LONGITUDE_DEG_DEC_NAD83
5960;3;Port de Québec - quai 107 (ancien locataire: Pétrolière Impériale);;R : Non terminée;23027;230;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;46.7911527778;-71.2273666667
5961;7;Transmission de l'Outaouais;"498, route 105
Chelsea";R : Non terminée;82025;820;0;Hydrocarbures pétroliers C10 à C50, Plomb (Pb),;45.5057861111;-75.7841666667
5962;10;WK/9-04 (Hydro-Québec);Baie James;R : Non terminée;99060;991;Hydrocarbures pétroliers C10 à C50,;0;51.3602777778;-77.7202777778
5963;10;WK/9-14 (Hydro-Québec);Baie James;R : Non terminée;99060;991;Hydrocarbures pétroliers C10 à C50,;0;51.5363888889;-77.7738888889
5964;10;WK/0-31 (Hydro-Québec);"Km 324 Route Baie James
Baie James";R : Non terminée;99060;991;Benzène, Éthylbenzène, Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;0;51.8702777778;-77.4022222222
5965;10;WJ/0-05 (Hydro-Québec);"km 24 Route Transtaïga
Baie James";R : Non terminée;99060;991;Hydrocarbures pétroliers C10 à C50,;0;53.3597222222;-77.1061111111
5966;10;WJ/0-14W (Hydro-Québec);"km 440 Route Baie James
Baie James";R : Non terminée;99060;991;Hydrocarbures pétroliers C10 à C50,;0;52.5738333333;-77.3618055556
5967;10;WJ/0-15 (Hydro-Québec);"Lac Nitiwapisunan 
Baie James";R : Non terminée;99060;991;Hydrocarbures pétroliers C10 à C50,;0;53.0381944444;-77.36675
5968;10;WJ/0-19 (Hydro-Québec);"Nord du lac Bernou 
Route Matagami-Radisson
Baie James";R : Non terminée;99060;991;Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50,;0;52.6169444444;-77.3816666667
5969;10;WJ/0-20 (Hydro-Québec);"km 440 Route Baie James
Baie James";R : Non terminée;99060;991;Hydrocarbures pétroliers C10 à C50,;0;52.5888888889;-77.325
5970;10;ET/0-04 (Hydro-Québec);Eastmain;R : Non terminée;99810;991;Hydrocarbures pétroliers C10 à C50,;0;52.24625;-78.4941944444
5971;10;ET/0-12 (Hydro-Québec);Baie James;R : Non terminée;99060;991;Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50,;0;52.1812777778;-77.1238055556
5972;7;Route 117 - km 364, ( Parc de La Vérendry );"Route 117- KM 364
Parc de la Vérendry";R : Non terminée;99999;999;Hydrocarbures pétroliers C10 à C50,;0;;
5973;10;NA/0-51 (Hydro-Québec);Baie James;R : Non terminée;99060;991;Hydrocarbures pétroliers C10 à C50,;0;50.5513888889;-77.4355555556
5974;10;NA/9-22 (Hydro-Québec);Baie-James;R : Non terminée;99060;991;Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50,;0;51.0080444444;-75.0136694444
5975;10;MI/0-16 (Hydro-Québec);Baie James;R : Non terminée;99060;991;Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50,;0;50.6737222222;-75.5003333333
5976;10;CH/0-58 (Hydro-Québec);Baie James;R : Non terminée;99060;991;Hydrocarbures pétroliers C10 à C50,;0;53.8044444444;-72.8644444444
5977;10;CH/1-175 (Hydro-Québec);Baie James;R : Non terminée;99060;991;Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50,;0;53.7236111111;-77.8816666667
5978;10;CH/0-16 (Hydro-Québec);Baie James;R : Non terminée;99060;991;Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50,;0;53.7888888889;-77.4772222222
5979;10;CH/0-28 (Hydro-Québec);Baie James;R : Non terminée;99060;991;Hydrocarbures pétroliers C10 à C50,;0;54.2966666667;-76.8947222222
5980;3;prolongement de la rue Vaubert;"rue Vaubert
Québec";R : Non terminée;23027;230;Cuivre (Cu),;0;46.8977888889;-71.1742555556
5986;17;Réal Bélisle;"587, route 239
Saint-Germain-de-Grantham";R : Non terminée;49048;490;Hydrocarbures pétroliers C10 à C50,;0;45.80126;-72.61672
5988;16;Denault, Laurentienne;"280, rue de l'Église
Saint-Amable";R : Non terminée;59015;590;Hydrocarbures lourds*,;0;45.6480555556;-73.2913888889
5989;7;D.A. Muller et fils inc.;"1358, route 105
Chelsea";R : Non terminée;82025;820;Hydrocarbures pétroliers C10 à C50,;0;45.5707083333;-75.8622527778
5992;2;Soudure 02 inc.;"2953, Boul. du Royaume
Jonquière";R : Non terminée;94068;941;Cuivre (Cu), Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50, Zinc (Zn),;Hydrocarbures aromatiques polycycliques*, Hydrocarbures pétroliers C10 à C50,;48.4070166667;-71.1897527778
5995;2;Ancien garage Esso - 1051, boul. St-Joseph - Roberval;"1051, boulevard Saint-Joseph
Roberval";R : Non terminée;91025;910;Benzène, Éthylbenzène, Hydrocarbures pétroliers C10 à C50, Toluène, Xylènes (o,m,p),;Benzène, Éthylbenzène, Toluène, Xylènes (o,m,p),;48.5232277528;-72.2213828964
5997;2;Rue Paradis - Lots 177 et 180;"Rue Paradis
Roberval";R : Non terminée;91025;910;0;Hydrocarbures pétroliers C10 à C50,;;
